Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Example.Api.Adapters.Rest.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Rest\Example.Api.Adapters.Rest.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Example.Api.Adapters.Rest.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Injections\RestAdapterModule.cs,18,2,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,services.Scan(s => s.FromAssemblyOf<RestAdapterModule>()  			.AddClasses(c => c.InNamespaceOf<JwtAdapter>())  			.AsImplementedInterfaces()  			.WithSingletonLifetime()  		);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Injections\RestAdapterModule.cs,16,60,T:System.Uri,,,,,client.BaseAddress = new Uri(conf.Authentication);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Injections\RestAdapterModule.cs,16,60,M:System.Uri.#ctor(System.String),,,,,client.BaseAddress = new Uri(conf.Authentication);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Injections\RestAdapterModule.cs,16,60,T:System.Uri,,,,,client.BaseAddress = new Uri(conf.Authentication);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Adapters\JwtAdapter.cs,23,5,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,,"public bool ValidateJwt(string? token, out JwtSecurityToken? validatedToken)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Adapters\JwtAdapter.cs,39,7,"M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.ValidateToken(System.String,Microsoft.IdentityModel.Tokens.TokenValidationParameters,Microsoft.IdentityModel.Tokens.SecurityToken@)",,,,,"tokenHandler.ValidateToken(token, new TokenValidationParameters      			{      				ValidateIssuerSigningKey = true,      				IssuerSigningKey = _publicKey,      				ValidateIssuer = false,      				ValidateAudience = false,      				ClockSkew = TimeSpan.Zero      			}, out var securityToken);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Adapters\JwtAdapter.cs,35,6,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,var tokenHandler = new JwtSecurityTokenHandler();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Adapters\JwtAdapter.cs,35,6,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,var tokenHandler = new JwtSecurityTokenHandler();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1505,20,T:System.Net.Http.HttpContent,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      using (var streamReader = new System.IO.StreamReader(responseStream))                      using (var jsonTextReader = new Newtonsoft.Json.JsonTextReader(streamReader))                      {                          var serializer = Newtonsoft.Json.JsonSerializer.Create(JsonSerializerSettings);                          var typedBody = serializer.Deserialize<T>(jsonTextReader);                          return new ObjectResponseResult<T>(typedBody!, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1505,20,M:System.Net.Http.HttpContent.ReadAsStreamAsync,,,,,"using (var responseStream = await response.Content.ReadAsStreamAsync().ConfigureAwait(false))                      using (var streamReader = new System.IO.StreamReader(responseStream))                      using (var jsonTextReader = new Newtonsoft.Json.JsonTextReader(streamReader))                      {                          var serializer = Newtonsoft.Json.JsonSerializer.Create(JsonSerializerSettings);                          var typedBody = serializer.Deserialize<T>(jsonTextReader);                          return new ObjectResponseResult<T>(typedBody!, string.Empty);                      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1489,16,T:System.Net.Http.HttpContent,,,,,var responseText = await response.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1482,12,T:System.Net.Http.HttpContent,,,,,"if (response == null || response.Content == null)              {                  return new ObjectResponseResult<T>(default(T)!, string.Empty);              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1447,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1447,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1429,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1427,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1427,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1418,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
